conversation_id,message,sentiment
1,Are you a fan of Google or Microsoft?,Curious to dive deeper
1,Both are excellent technology they are helpful in many ways. For the security purpose both are super.,Curious to dive deeper
1," I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. ",Curious to dive deeper
1," Google provides online related services and products, which includes online ads, search engine and cloud computing.",Curious to dive deeper
1," Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. ",Curious to dive deeper
1,Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.,Curious to dive deeper
1,Did you know Google had hundreds of live goats to cut the grass in the past?,Curious to dive deeper
1," It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ",Curious to dive deeper
1,I like Google Chrome. Do you use it as well for your browser?,Curious to dive deeper
1," Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger.",Curious to dive deeper
1," By the way, do you like Fish? ",Curious to dive deeper
1,Yes. They form a sister group of tourniquets- they make the sea water clean and remove the dust from it. Fish is the biggest part in the eco-system.,Curious to dive deeper
1,Did you know that a seahorse is the only fish to have a neck?,Curious to dive deeper
1," Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings.",Happy
1," Interesting, they also have gills. Did you know that jellyfish are immortal? ",Curious to dive deeper
1,Yes. Fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries.,Curious to dive deeper
1," What about cats, do you like cats? I'm a dog fan myself. ",Curious to dive deeper
1,The cat is referred as domestic cat and wild cat. They make our world very clean from rats!,Curious to dive deeper
1," Yeah, cats can be cool, but they sure do spend a lot of their time sleeping. ",Curious to dive deeper
1,Cats hear the sounds too faint or too high frequency human ears can hear.,Curious to dive deeper
1," I heard that too. Well, it was nice chatting with you. Have a good day. ",Curious to dive deeper
2,do you like dance?,Curious to dive deeper
2,Yes  I do. Did you know Bruce Lee was a cha cha dancer?,Curious to dive deeper
2,Yes he even won a hardcore cha cha championship in 1958,Curious to dive deeper
2,Yeah. Did you know Tupac was a ballet dancer?,Curious to dive deeper
2,Yes and he even was in the production of the nutcracker,Curious to dive deeper
2,Yeah. Ballet dancer go through 4 pairs of shoes a week,Curious to dive deeper
2,Yes that is a lot of shoes and also a lot of money,Curious to dive deeper
2,Yeah true. Did you know babies are really good at dancing?,Curious to dive deeper
2,Yes and they smile more when they hit the beat,Curious to dive deeper
2,Yeah they are much smarter than we give them credit for,Curious to dive deeper
2,True Did you know Jackson had a patent on a dancing device?,Curious to dive deeper
2,Yes it helped him smooth out his dance moves,Curious to dive deeper
2,Nice. Do you like Shakespeare?,Curious to dive deeper
2,Yes I do. Do you know that he popularized many phrases,Curious to dive deeper
2," Yes like good riddance, in my heart of hearts and such",Curious to dive deeper
2," Yes and then he also invented names like Jessica, Olivia and Miranda",Curious to dive deeper
2,Yes. And for his works you have to use old english for it to make sense,Curious to dive deeper
2,Yes otherwise the rhymes and puns do not seem to work out,Curious to dive deeper
2,Yes. He lived at the same time as Pocahontas too,Curious to dive deeper
2,I wonder if they met how that would go from there,Curious to dive deeper
2,Yeah interesting point. Nice chat,Curious to dive deeper
3,Hey what's up do use Google very often?I really love the company and was surprised to hear that it was founded back in 1998.,Curious to dive deeper
3,i think everyone must use it daily! its become ingrained in every day life,Neutral
3,Agreed. The Google headquarters in Mountain View California is nicknamed the Google Plex.,Neutral
3," thats funny. The current CEO is Sundar Pichai, i didnt know Larry Page was replaced",Neutral
